Department,Sentiment,Emotions,Summary
Product,positive,"perfect, nicely, great, better, like","nicely fitted wide legs, great weight fabric, better than similar pants."
Product,positive,"urged, nice, pretty, love, flattering","stylish tank with embroidered cut outs, flattering fit"
Product,positive,"cute, comfortable, big, wearable","cute top, comfortable, runs big, wearable"
Product,positive,"great, comfortable, disappointed, super, wish","comfortable pants, disappointed with limited color options"
Sales,positive,"glad, adorable, extra savings",got it on sale with extra savings
Product,negative,"disappointment, frustration, dissatisfaction, annoyance, dissatisfaction",medium size is too balloony at the bottom
Product,positive,"pleased, great, soft, amazing, thin","color and fabric are great for layering, very soft."
Product,positive,"scared, perfect, flattering",flattering romper for tall individuals
Product,positive,"loved, liked, returned","color, fabric, wide at bottom, returned"
Product,positive,"love, nice, interest, complimentary, favorite","favorite item, nice interest, complimentary to skin tone"
Product,positive,"excited, great, warm, wear, quality",great quality dress for warmer weather
Product,positive,"beautifully made, incredible, gorgeous, perfect, strange",blouse is gorgeous and perfect for autumn
nan,nan,nan,nan
Product,positive,"satisfied, happy, impressed, content, pleased","fantastic quality tee with nubbed appearance, hides baby belly."
Product,positive,"adorable, soft, high quality, thick, sweater","soft and high quality faux fur jacket, perfect for winter."
Product,negative,"on the fence, not fitted, flattering, fine, true to size","not fitted at the waist, flattering v-neck and flared skirt"
Product,positive,"amazing, short","color and fit amazing, length not too short"
Product,negative,"disappointment, frustration, caution, uncertainty, dissatisfaction","weird fit, muted colors, try on in store"
Product,positive,"perfect, lightweight, easily worn, great","lightweight jacket, perfect for fall, looks great with jeans"
Product,positive,"beautiful, significant, flimsy, heavy, gorgeous, subtle, nice, perfect","dress fits beautifully, fabric is thick, detail is gorgeous"
Product,positive,"love, soft, flattering, comfortable, great","soft, flattering shirt with great fabric, perfect for layering."
Product,positive,"cute, love, perfect, great","cute joggers, perfect fit, love them"
Product,positive,"happy, pretty, feminine, great, happy","pretty and feminine top, looks great with jeans, happy with purchase"
Product,positive,"love, great, wish, sucker, keeping","cute basic white shirt with nice detail, great for work or play."
Product,negative,"odd, inappropriately, def., strange, not sure",snaps at the ankle are cute but bad in execution
Product,positive,"warm, soft, comfortable, versatile, cute","warm, soft, comfortable dress, versatile for work or casual evening date."
Product,positive,"comfortable, dressy, recommend, lovely, well-made","quality fabric, comfortable yet dressy blouse"
Product,positive,"great, flattering, thick, hides","pants are great, flattering, thick material, hides underwear lines"
Product,negative,unflattering,dress with unflattering built-in extra material at lower abdomen.
Product,negative,"disappointment, frustration, dissatisfaction, surprise, regret","wide and short size, soft material, returning"
Product,negative,"comfortable, soft, flattering, special, pass","vest is nice enough, comfortable, soft, flattering, but not special"
Product,positive,"love, classic, classy, fun, cute","classic and classy top, cute gingham, soft and thick fabric"
Product,negative,"odd, liked, going back","odd fit, soft material, going back"
Product,positive,"cute, regret, flattering, gorgeous, sheer","cute and flattering top, needs a cami, no options available"
Product,positive,"comfortable, flattering, beautiful, love, hope","comfortable and flattering pants with beautiful embroidery, hoping for color and fit to stay"
Product,positive,"satisfied, happy, content, pleased, indifferent","good quality dress, recommend smaller size, minor alteration needed."
Product,positive,"pretty, romantic","pretty, romantic"
Product,positive,"form fitted, flattering",form fitted and flattering
Product,positive,"yummy, soft, gorgeous, great, fabulous","fabric is yummy and soft, eyelet detail gorgeous, colors are great"
