age,division_name,department_name,class_name,clothing_id,title,review_text,alike_feedback_count,rating,recommend_index ,date,deparment,sentiment,emotions,summary
32,General,Tops,Knits,872,Great fit,"I have been searching around for new and unique clothes to wear to work. this top is cute, comfortable, and well made. these are all qualities that i look for when purchasing clothes. also the shirt is flattering for the stomach if you are like me and had a baby.",0,5,1,2022-01-06 13:20:00.000000000,Product and Quality Assurance,positive,"cute, comfortable, well made, flattering","cute, comfortable, well made, flattering for the stomach"
41,General Petite,Tops,Knits,873,Adore! but the white *is* sheer,"I own this in the dark blue and adore it. i read reviews later as i was pondering buying the white (why is it so hard to find a white shirt anymore that isn't see-through?!). one of the first reviewers raved that it wasn't see-through. i ordered it and ... nope, it's totally see-through. i tried it on and immediately saw the entire outline of my nude bra, and worse still - my belly button. back it went. i got the green instead. bummer about the white - fabric's different than the others.",0,4,1,2022-01-07 02:40:00.000000000,"Product and Quality Assurance, Inventory Management",negative,"adore, pondering, raved, tried, immediately, bummer","white shirt see-through, ordered green instead"
53,General,Bottoms,Skirts,1008,"Not red, not orange...","Yes, as much as i'd have liked this to be a true red, it's kind of red-orange; i am relieved, however that it is not as orange as it looks on my monitor! that is my only slight-and i mean slight-disappointment in this cute-as-all-get-out skirt! i am 5""5"" 140 lbs and the six is perfect, leading me to believe that this is tts. it is a polyester mix with a same-color liner, large buttons followed by smaller, silver colored buttons at the apron. the larger buttonholes are red and white striped and t",0,5,1,2022-01-07 16:00:00.000000000,Product and Quality Assurance,positive,"relieved, cute, slight disappointment, perfect","cute skirt, slight disappointment in color, perfect fit"
23,General,Bottoms,Skirts,1020,"Cute, but not flattering on","I really loved this skirt on the model, but it just wasn't flattering when i received my order. i ordered two sizes - 2 and 4. i am 5'4, athletic build and the front closure made my waist look much larger than it is. the back of the skirt also flared out more than i expected it to. 

sadly, i had to return both. perhaps this would look better on someone with a much taller frame.",0,2,0,2022-01-08 05:20:00.000000000,Product and Quality Assurance,negative,"loved, flattering, larger, expected, sadly","skirt not flattering, larger waist, flared out, had to return"
71,General Petite,Jackets,Jackets,984,,Love it; the bit of stretch in the denim makes it less stiff than traditional denim.,0,5,1,2022-01-08 18:40:00.000000000,Product and Quality Assurance,positive,"love, less stiff","denim with stretch, less stiff than traditional denim"
31,General,Dresses,Dresses,1086,Not for my curves,"5'7"", 34c, 28 jeans, size 4 dress. fell in love with the pattern in particular, knowing the design might not work best for my body. ordered the size small - it was not unflattering - but it did nothing for my body type. if anything, the excess fabric made me appear wider and made my waist non-existent. the trouble was that the skirt portion has the elastic band starting high - approximately right under your chest - almost like an empire waist (this is hidden by the flap of material hanging over",5,3,0,2022-01-09 08:00:00.000000000,Product and Quality Assurance,negative,"disappointment, frustration, dissatisfaction, confusion, regret",excess fabric and high elastic band made the dress unflattering
64,General,Tops,Sweaters,939,Itchy!,"I love the idea of this coat and foolishly purchased other items in happy anticipation of its arrival.

the description does not say ""lined,"" and i hoped for soft wool that i recently got on the ""yellow with white piping"" sweater coat. this is hard, coarse, itchy wool - impossible for me to wear an unlined garment. i am consistently puzzled by the high prices for garments that are unlined when they really need to be. it went back, and i cannot really recommend this as i know i am not the only",22,3,0,2022-01-09 21:20:00.000000000,Product and Quality Assurance,negative,"love, happy, puzzled, disappointed","unlined wool coat, not recommended"
50,General Petite,Dresses,Dresses,1078,Great with leggings,"This dress is too short for me to wear as a dress, at 5'7"" and over 40. however is is great with leggings and boots.
it drapes nicely not over sized like many dresses this style. the color is more earthy than pictured. it's actually nicer in person than online. and it has a wonderful texture to it. i was drawn to it when i walked in the store they had it on display under s short cropped jacket and boots.",13,4,1,2022-01-10 10:40:00.000000000,"Marketing, Product and Quality Assurance",positive,"drawn, wonderful, nicer, great, like","dress is great with leggings and boots, nicer in person"
50,General Petite,Bottoms,Pants,1060,Perfect white pants,I love these pants purchased them in white the fit is great the fabric is just the right thickness given they are white i don't want the fabric to be too thin a bit long so i will have to have them tailored but vey happy with these pants,0,5,1,2022-01-11 00:00:00.000000000,Product and Quality Assurance,positive,"love, happy","great fit and fabric, need tailoring"
35,General Petite,Tops,Blouses,835,,"Beautiful top, i love the peplum. the color is actually cream with blush accents in the lace. i gave it two stars for quality because the hem was uncut and unfinished so it's going back.",2,3,1,2022-01-11 13:20:00.000000000,Product and Quality Assurance,negative,"love, beautiful, uncut, unfinished, going back","hem was uncut and unfinished, going back"
40,Initmates,Intimate,Swim,286,Wowser,"Made by dawn suits are the bomb. the bottom is a tiny bit cheeky, but not thong territory- just enough side leg to be seriously sexy. the quality is fantastic, soft with nude lining. love the retro feel to the high neck top- enough support even for my 36d's. so comfy, i forgot i was wearing it at lunch. the normal triangle tops cut into my shoulders/neck, and this style does not. amazing quality and well worth the price.
fyi- large top fit perfectly, but i needed a medium bottom.",1,5,1,2022-01-12 02:40:00.000000000,"Sales, Product and Quality Assurance",positive,"fantastic, love, comfy, amazing, well worth","high-quality suits with a retro feel, great support, comfortable and worth the price."
38,General,Bottoms,Pants,1053,"Pretty, but a bit small","I can't decide on these pants. after trying them on in the store, they are very soft and a beautiful blue color. however, i found them a bit small. i usually take a l in retailer pants, and these are very tight. probably could pull them off with a tunic top, however, in spite of the fabric, the fit was just not comfortable for me. a good alternative for denim if you are slender, rather than curvy.",12,4,1,2022-01-12 16:00:00.000000000,Product and Quality Assurance,negative,"indecisive, disappointed, uncomfortable, alternative, slender","tight pants, beautiful color, uncomfortable fit, alternative to denim"
34,General,Bottoms,Shorts,177,Great summer staple,"These fit quite well, and it's rare that i find shorts that fit well without being too tight. great for spring or summer. fits tts.",2,5,1,2022-01-13 05:20:00.000000000,Product and Quality Assurance,positive,"rare, great, well, fit, spring, summer",well-fitting shorts for spring and summer.
37,General,Tops,Blouses,837,,"Very nice but thin materal. very sheer. i paired with the palmarosa wide legs. loved the way it looked. i do think the sale price is a bit high for this shirt, though.",0,5,1,2022-01-13 18:40:00.000000000,Sales,negative,"liked, disappointed, concerned, loved, thought",high sale price for shirt
36,General,Jackets,Jackets,967,Great jacket,"This is one of the cutest jackets i have ever owned. nice soft material. i have a steamer so won't have to iron this, depends on how picky you'd be about that. great cut. ordered my normal size. sending another jacket back that luckily i hadn't worn yet. i know between the two, i will always pick this one. didn't find the sleeves too long which was good as no petite option. seriously so excited to wear this. :)",5,5,1,2022-01-14 08:00:00.000000000,"Marketing, Product and Quality Assurance",positive,"cute, nice, picky, great, luckily, excited","cute jacket, soft material, great cut, no need to iron, sending another jacket back"
72,General,Dresses,Dresses,1094,Perfect for irish fest and beyond!,"I bought this dress for its green color and flowy design to wear at an irish fest held in the hot summer. it's perfect! being of irish descent with red hair and fair skin, i love all shades of green, and this green dress is no exception. the color is lovely and eye-catching and cool. as to the sizing, i usually wear a size 8, but to make sure due to the design, i ordered an 8 and a 6. there wasn't a great difference between the two dresses, but the size 6 top was a bit more fitted and looked bet",0,5,1,2022-01-14 21:20:00.000000000,"Marketing, Product and Quality Assurance",positive,"love, lovely, eye-catching, cool, fitted","green dress is lovely and eye-catching, size 6 top is more fitted"
49,General Petite,Dresses,Dresses,1078,Tent-like but cozy,"I tried this on in the store and it fit like a tent on me. it doesn't help that i'm 5'1"" and the store didn't have the petite sizes. maybe on a teller person it would work better. or maybe if i had been able to try the petite size it would have more wearable. it is a comfy style and the natural fiber is a plus. i have another holding horses dress that i love which also runs large. i did not mark this as ""runs large"" because the sleeves are more true to size while the bodice is very billowy. i wo",4,3,0,2022-01-15 10:40:00.000000000,"Inventory Management, Product and Quality Assurance",negative,"frustration, disappointment, dissatisfaction, annoyance, resignation","store lacks petite sizes, dress fits large, sleeves true to size"
42,General,Tops,Blouses,829,Even more vibrant in person!,"The colors on this blouse are beautiful and even more vibrant in person. i love that the blouse is lightweight, perfect to wear to any holiday gathering!",0,5,1,2022-01-16 00:00:00.000000000,Marketing,positive,"beautiful, vibrant, love, lightweight, perfect","vibrant colors, lightweight blouse, perfect for holiday gatherings"
32,General,Tops,Blouses,833,Great top - beautiful details,Highly recommend this top. received lots of compliments on the day that i wore. recommend wearing with a tank top.,1,5,1,2022-01-16 13:20:00.000000000,"Marketing, Sales",positive,"recommend, compliments, wore, tank top","highly recommend top, received compliments, wear with tank top"
44,General,Tops,Knits,879,Disappointed,I wanted to love this top. it was huge and i didn't like the material. it felt like it should have been much less expensive than it was.,3,3,0,2022-01-17 02:40:00.000000000,Product and Quality Assurance,negative,"disappointment, dissatisfaction, frustration, regret, annoyance",material quality and price dissatisfaction
42,General,Bottoms,Pants,1056,"I ""heart"" this!",I purchased this jumpsuit for christmas parties this year and have received so many compliments. it's a great fit and very comfortable. i especially love the pockets! very flattering.,4,5,1,2022-01-17 16:00:00.000000000,"Marketing, Product and Quality Assurance",positive,"compliments, great fit, comfortable, love, flattering","christmas parties, compliments, great fit, comfortable, love, pockets"
35,General,Bottoms,Pants,1063,Fabric is amazing,"I know you cannot tell from the pictures, but the fabric on this is incredible. it is very light and extremely airy so that it flows when you walk. i am a rather petite individual so it would require excessive tailoring for me to wear this-both in length and in the top. i think it was true to size with this exception-and i wish they offered this in petite. i would have tailored the length if it was only that, but on the top (i am not large-chested) there was a bunch of extra fabric that just lai",7,5,1,2022-01-18 05:20:00.000000000,Product and Quality Assurance,positive,"impressed, satisfied, disappointed, frustrated, hopeful","fabric is incredible, requires tailoring, wish it was offered in petite"
56,General Petite,Tops,Knits,884,Top part is gorgeous; bottom part is not,"My favorite colors are purple and green, so when i was in the store and saw the beautiful purple flowers on the top of this blouse and all up and down the sleeves, i was was blown away. i was disappointed by the bottom of it, just huge, flowy, green fabric with no design on it whatsoever. i went with my first impression and bought it, but now that i'm trying it on in the house, i'm still bothered by the throw-away bottom of this blouse. i'm thinking this is just another retailer maternity t",4,2,0,2022-01-18 18:40:00.000000000,Product and Quality Assurance,negative,"disappointed, bothered","blouse with beautiful purple flowers, but disappointing bottom fabric."
60,General,Bottoms,Pants,1058,"Stylish, but has a few issues","First, let me say i really like these pants before i get into what's wrong with them. the fabric is a nice weight and drapes really pretty. they are very long for you leggy girls out there or ladies who like to wear platform shoes and that's a plus for me.

now for the issues: the waist runs small, but not so much that i can't wear them. they are roomy and comfy otherwise, just snug there. the hem came out of mine, so that's the big bummer here. i have to hem them, which is a chore and i wish th",3,4,1,2022-01-19 08:00:00.000000000,"Product and Quality Assurance, Inventory Management",negative,"like, wrong, plus, issues, snug","waist runs small, hem came out, need to hem them"
75,Initmates,Intimate,Lounge,623,,These shorts are super comfy and the color is awesome!,1,5,1,2022-01-19 21:20:00.000000000,Product and Quality Assurance,positive,"comfy, awesome",super comfy shorts with awesome color
59,General,Tops,Blouses,836,Love this blouse,"I really like this blouse a lot. very very easy to wear!! i wore with pencil skirt to work and with skort as shown similar on model with sandals on weekend. very flattering and great blue color!!! very happy with this purchase. highly recommend. i am 5'6"" short torso and my usual 6 worked.",0,5,1,2022-01-20 10:40:00.000000000,"Marketing, Product and Quality Assurance",positive,"like, easy, flattering, happy, recommend","flattering blouse, great blue color, highly recommend"
35,General,Dresses,Dresses,1083,Spring for this dress now!,"Simply put, this dress will make you feel like joan from mad men (in all the best ways). amazingly form-fitting and impeccably constructed, like you imagine clothes used to be. it's true there are hook & eye closures between each button from about the waist up; yes they are a bit tedious, but they're essential to the flawless, gapless fit of this button-up style. i'm 5'4"" 120-125# and got the 2p based on reading every single review posted. it's a *tinge* tight but i'm very happy with it and the",0,5,1,2022-01-21 00:00:00.000000000,Product and Quality Assurance,positive,"happy, satisfied, impressed, content, pleased","impeccably constructed dress, form-fitting, flawless fit, happy with it"
62,General,Tops,Knits,886,Perfect and at the right price!,"In my opinion, the quality and uniqueness of this piece far definitely warrants a full price purchase. adorable cut and style, comfortable and cute. it's the perfect flexible top to wear to work with a skirt or more casually with your favorite pair of jeans. love this!",2,5,1,2022-01-21 13:20:00.000000000,"Marketing, Product and Quality Assurance",positive,"opinion, quality, uniqueness, adorable, comfortable, cute, perfect, love","quality, uniqueness, adorable, comfortable, cute, perfect, love"
30,General Petite,Tops,Blouses,838,Weird arms!,The shirt is great except for the arms!! the band around the arms are tight and it makes the arm holes gape weirdly unless you are standing with your arms straight down by your side.,0,3,0,2022-01-22 02:40:00.000000000,Product and Quality Assurance,negative,"frustration, disappointment, annoyance, dissatisfaction, discomfort","tight arm holes, uncomfortable fit"
38,General Petite,Tops,Sweaters,939,Sleek moto sweater - upgraded cardigan,"I didn't end up keeping this, and i feel like i might regret it. ;) i have a similar sweater. this jacket is super streamlined with a sleek fit. the bummer for me was that it didn't have snaps to hold the collar down to the jacket when it was unzipped, so the flaps seemed to flop around. the s was perfect. not too tight. i'm 5'8"", 140 lbs, 34c.",0,4,1,2022-01-22 16:00:00.000000000,Product and Quality Assurance,negative,"regret, bummer, perfect, tight","jacket lacks snaps to hold collar down, sleek fit"
34,General Petite,Jackets,Outerwear,1116,Loved but had to return - twice!,"I loved this vest from the moment i saw it. sadly, though, it runs way too large. i first ordered it in a small and then an xs when it popped back. even the xs was too large around my shoulders and waist. the color was also a bit more beige than in the photos, which was ok, but i had to return it because of the size.",0,3,1,2022-01-23 05:20:00.000000000,Product and Quality Assurance,negative,"loved, sadly, large, ok, return","vest runs large, color different, had to return"
41,General,Tops,Sweaters,930,Wanted to love this,"It really is a beautiful sweater.  the material is super soft and feels luxurious.  unfortunately, it just looked too bulky on me and accentuated my width.  maybe if i were taller, i could pull it off.",0,3,1,2022-01-23 18:40:00.000000000,Product and Quality Assurance,negative,"disappointment, frustration, dissatisfaction, self-consciousness, resignation","bulky sweater, accentuated width, not suitable for shorter individuals."
46,General,Dresses,Dresses,1094,Darla tulle dress,"Very pretty. runs true to size. waist is higher than in the photo, as other reviewers have stated. correct fit is important because the arm openings are a little big, i thought, and when i sized up to try to get the waist a little lower, the arms were too large.",2,4,1,2022-01-24 08:00:00.000000000,Product and Quality Assurance,positive,"pretty, correct fit, important, big, large","correct fit is important, arms are a little big."
23,Initmates,Intimate,Swim,401,Amazing,"I'm only 5'3"" so i ordered a small but i have a larger rear (size 4-6) end and bust (32dd). the small gave me plenty of room in the top. the bottom area was definitely meant for someone with a smaller butt but i don't feel over exposed or anything. the fabric on the bottom is thick which is really nice. it makes the body seem slim and keeps the white from being see through even when wet. the long sleeve design is also awesome! i have gotten numerous compliments on it. the top has an inner liner",1,5,1,2022-01-24 21:20:00.000000000,"Product and Quality Assurance, Inventory Management",positive,"satisfied, confident, pleased, happy, grateful","slimming design, thick fabric, compliments received, inner liner"
79,General Petite,Bottoms,Skirts,1004,Great fall/winter skirt,"Living in alaska means fall starts early and winter runs long. this great little skirt is perfect for casual fridays and weekends. i am 4'11 and ordered the petite 4, which is a little big around the waist, but could tuck a sweater or shirt in. absolutely love this skirt and thinking about purchasing in another color.",0,5,1,2022-01-25 10:40:00.000000000,"Marketing, Inventory Management",positive,"love, thinking, perfect, little, big","perfect for casual fridays and weekends, love this skirt"
60,Initmates,Intimate,Lounge,628,Cute cover-up or summer top & shorts!,"Lightweight, soft cotton top and shorts. i think it's meant to be a beach cover-up but i'm wearing it as a thin, light-weight summer outfit on these hot hot days. the top has a loose elastic around the bottom which i didn't realize when i ordered it, but i like it and it matches the look in the photos. and the shorts are very low-cut - don't expect them up around your waist. again, i like that. some might want to wear a cami underneath because it's a thin cotton but i'm fine as-is. i bought it i",2,5,1,2022-01-26 00:00:00.000000000,"Sales, Product and Quality Assurance",positive,"like, fine, hot, lightweight, soft","lightweight, soft cotton outfit for hot summer days"
32,General,Tops,Blouses,850,Awful fit,Wanted to like this top but it looks terrible and does not lay right. the bust line is not tight enough to contrast the rest of the top being flowy. does not give any shape to the body. do not recommend for anyone with a medium to large chest.,0,2,0,2022-01-26 13:20:00.000000000,Product and Quality Assurance,negative,"terrible, not lay right, not tight enough, flowy, no shape","top does not lay right, not tight enough, no shape"
66,General Petite,Tops,Blouses,820,Too bad,"I just can't get past how different the blouse i got is from the photo. mine has dark colors, really dark colors.  this top fits a bit large and the neck is quite wide. i thought it flowed well and fit nicely in my regular size large. i liked the length and the fact that it's shorter than shown. it still covered my bum.  the back has a cute peplum ruffle and there are little bronze colored beads along the bottom edge in both the front and back. i would have kept it had been the blouse shown in t",4,2,0,2022-01-27 02:40:00.000000000,Product and Quality Assurance,negative,"disappointment, frustration, dissatisfaction, surprise, annoyance","blouse different from photo, dark colors, large fit, wide neck, cute peplum ruffle"
21,General Petite,Tops,Blouses,830,,"I just purchased this blouse in store! the fabric has a nice weight and drape, feels nice to the touch and is opaque. i'll be wearing this one as a dress and a top. i'm 5'2"" and this fell a couple inches above my knee. i typically wear an xs at retailer and opted to go with a small for the extra length and because i hate when off the shoulder silhouettes pop up and become not so off the shoulder. i laid the xs and small out to compare sizing and didn't notice a major  difference width wise. i typi",4,5,1,2022-01-27 16:00:00.000000000,Product and Quality Assurance,positive,"satisfied, happy, content, pleased, impressed","nice fabric, versatile, good length, sizing is consistent"
53,General,Tops,Fine gauge,895,Great top!,Love it to layer. it is not heavy the perfect weight & soft material. my daughters all want to steal it!,0,5,1,2022-01-28 05:20:00.000000000,"Marketing, Product and Quality Assurance",positive,"love, want, steal","soft material, daughters want to steal it"
52,General Petite,Bottoms,Skirts,1020,Perfect skirt,Love all the colors in this skirt and that i can wear it with a tee and flat sandals or a black jacket and heels. easy piece to wear many ways. great quality too.,1,5,1,2022-01-28 18:40:00.000000000,"Marketing, Product and Quality Assurance",positive,"love, great","versatile skirt, multiple ways to wear, good quality"
36,General Petite,Tops,Knits,862,Only for certain body types,"I like this shirt, want to love it. i am keeping this shirt hoping to have better arms by summer when i can where this top with black shorts. this shirt does cling, it's a draping sort of fabric; i love how it drapes in the front. only because i am not happy with my arms do i where a cardi with it. also, the underarm area is rather open so i'll wear a bandeau when i wear this without a cardi.",1,3,0,2022-01-29 08:00:00.000000000,Product and Quality Assurance,positive,"like, love, happy, hope, not happy","draping fabric, open underarm area, wear with cardi or bandeau"
42,General Petite,Bottoms,Skirts,993,Amazing!,"This skirt is worth every penny! it appears slightly different than pictured in terms of color -- it is a cream/blue gray making it very versatile. the crochet work is beautiful and cream. it is not too bright to show every dirt mark; the cream coordinates perfectly with the leather color. it is a classic, elegant design and could be paired with a silk type or even a cashmere sweater in the cooler months to come. for me, it is tts mostly (i am usually a 4-6) and the six fits perfectly. it has an",2,5,1,2022-01-29 21:20:00.000000000,Product and Quality Assurance,positive,"worth, versatile, beautiful, classic, elegant","cream/blue gray skirt, versatile, classic design, perfect fit"
42,General Petite,Tops,Blouses,831,Very pretty,"I bought this blouse on sale in a medium because it was the last one left in the store. i usually wear a large, but surprisingly it fit. i'm a woman of color, and the off white and lace looks great with my complexion. i got many compliments on the blouse as i made my way to the register to check out. i can't wait to wear it this spring. i'll have to be careful when wearing this blouse because one good snag with a fingernail, or necklace and the lace will be torn. other than that, i'm very happy",0,4,1,2022-01-30 10:40:00.000000000,"Sales, Product and Quality Assurance",positive,"surprised, happy, excited, cautious, satisfied","blouse on sale, fits well, compliments, lace delicate"
32,General,Tops,Blouses,836,Adorable,"I purchased the floral patterned version and get complimented every time i wear it. i found it to be pretty true to size, even after washing. it's a little sheer, so you'd definitely want to wear a camisole underneath for work. it's a great top for spring/summer!",4,4,1,2022-01-31 00:00:00.000000000,Product and Quality Assurance,positive,"complimented, pretty, great, spring/summer","floral patterned version, true to size, great top for spring/summer"
39,General,Bottoms,Jeans,1039,I like them but...,"First off: kudos to the other reviewers for setting the expectation re: the color on these! they are not a dark rinse at all - not even close. they're a light-to-medium hue with fading down the front of the thighs. with that in mind, i do like the color - especially for spring - but would have been very miffed had i ordered these and they arrived so starkly different from the online photo.
----------
i typically wear a 27-29, depending on the brand and waist rise. these were an online return t",5,3,1,2022-02-01 00:00:00.000000000,Product and Quality Assurance,negative,"miffed, like, disappointed, surprised, relieved","color not as expected, online return"
66,Initmates,Intimate,Lounge,811,Runs small,This is baby soft and a great basic. i ordered my normal size large and it clings in an unattractive way so you might want to size up for a better fit if you're not going to wear it as a layer. the black color is saturated in a good way. it's also very long but i'm short so this would be perfect for taller frames.,0,5,1,2022-02-01 18:30:51.428571428,Product and Quality Assurance,negative,"unattractive, better fit, perfect, taller frames","size up for better fit, perfect for taller frames"
33,General,Bottoms,Skirts,995,,"The skirt is comfortable and as pictured. it also ran tts. i'm 5'5"" tall and weigh 140 lbs. i had the medium and didn't need to size up to a large. when you put the skirt on a normal body, it looks like you are wearing an easter egg... and not in a good way.",0,2,0,2022-02-02 13:01:42.857142857,Product and Quality Assurance,negative,"comfortable, pictured, tts, normal body, easter egg",skirt looks like wearing an easter egg on a normal body
34,General,Bottoms,Jeans,1038,Just beautiful,"The embroidery is actually navy blue, not black like it shows in the photos, which was even better for me. these are so soft and feminine looking. love love love! please make more decorated and embroidered hyphens like you have in the past retailer :)",5,5,1,2022-02-03 07:32:34.285714285,"Marketing, Product and Quality Assurance",positive,"love, soft, feminine, better, decorated","navy blue embroidery, soft and feminine, love it"
36,General Petite,Tops,Knits,880,Boxy but cute!,"I love the model's pairing of this sweatshirt and was struck by it when i walked in the store! like the other reviewer said, you could dress up or down (despite the ""sweatshirt"" name) and i'm planning to wear it with the galleria corduroy skirt and gray booties. love the stitched pockets on the side! (but i'm unlikely to put anything there since it would probably fall out!)

sizing: definitely boxy as the first reviewer said. i'm solidly a small in most tops, and this one i have a bit of spare",0,4,1,2022-02-04 02:03:25.714285714,"Marketing, Product and Quality Assurance",positive,"love, struck, planning, stitched, unlikely","love the model's pairing, planning to wear with corduroy skirt"
33,General Petite,Dresses,Dresses,1095,It fits!,"I ordered this dress to wear for summer weddings this year. i am both surprised and excited that it fits.

i normally wear an 18, sometimes a 16. stores like retailer are a place i go to admire fun cloths, but not to actually shop. i was concerned that the xl was going to be a fake xl- this happens sometimes. a brand only makes clothing up to a 12, so they're xl is really a 12. but not so! i feel like the xl could fit a 16 - 20. the l would probably fit a 16 as well.

this dress fits in",6,4,0,2022-02-04 20:34:17.142857142,Product and Quality Assurance,positive,"surprised, excited, concerned, relieved, satisfied","dress fits well, sizes are accurate, xl could fit 16-20"
62,General Petite,Tops,Blouses,845,,"Intrepid soul that i am, i washed it in the machine in cold water on a 25 minute cycle, then put it in the dryer for 8 minutes, shook it out, hung it up, and it is just the same as when it went in. doesn't need to be ironed and didn't shrink. yes, the swing is vast, but that is part of its charm. pair it with a fitted piece on the bottom and no one will think that you are actually needing that much material to cover anything! i think it is fun, something i will use for years, wonderfully comfort",3,4,1,2022-02-05 15:05:08.571428571,Product and Quality Assurance,positive,"fun, comfort, charm, excitement, satisfaction",fun and comfortable clothing that doesn't shrink or need ironing.
33,General,Dresses,Dresses,1094,Dressy yet comfy,"I saw this dress a few weeks ago in the store, tried it on but didn't have anywhere in mind to wear it so i passed. noticed it on sale online and had to order. it is so comfortable and flattering. the material is thicker therefore it keeps a nice shape. not slinky at all.",0,5,1,2022-02-06 09:36:00.000000000,Sales,positive,"comfortable, flattering, nice shape, not slinky","comfortable and flattering dress, nice shape, not slinky."
