Department,Sentiment,Emotions,Summary
"Marketing, Product and Quality Assurance",positive,"opinion, quality, uniqueness, adorable, comfortable, cute, perfect, love","quality, uniqueness, adorable, comfortable, cute, perfect, love"
Product and Quality Assurance,negative,"frustration, disappointment, annoyance, dissatisfaction, discomfort","tight arm holes, uncomfortable fit"
Product and Quality Assurance,negative,"regret, bummer, perfect, tight","jacket lacks snaps to hold collar down, sleek fit"
Product and Quality Assurance,negative,"loved, sadly, large, ok, return","vest runs large, color different, had to return"
Product and Quality Assurance,negative,"disappointment, frustration, dissatisfaction, self-consciousness, resignation","bulky sweater, accentuated width, not suitable for shorter individuals."
Product and Quality Assurance,positive,"pretty, correct fit, important, big, large","correct fit is important, arms are a little big."
"Product and Quality Assurance, Inventory Management",positive,"satisfied, confident, pleased, happy, grateful","slimming design, thick fabric, compliments received, inner liner"
"Marketing, Inventory Management",positive,"love, thinking, perfect, little, big","perfect for casual fridays and weekends, love this skirt"
"Sales, Product and Quality Assurance",positive,"like, fine, hot, lightweight, soft","lightweight, soft cotton outfit for hot summer days"
Product and Quality Assurance,negative,"terrible, not lay right, not tight enough, flowy, no shape","top does not lay right, not tight enough, no shape"
Product and Quality Assurance,negative,"disappointment, frustration, dissatisfaction, surprise, annoyance","blouse different from photo, dark colors, large fit, wide neck, cute peplum ruffle"
Product and Quality Assurance,positive,"satisfied, happy, content, pleased, impressed","nice fabric, versatile, good length, sizing is consistent"
"Marketing, Product and Quality Assurance",positive,"love, want, steal","soft material, daughters want to steal it"
"Marketing, Product and Quality Assurance",positive,"love, great","versatile skirt, multiple ways to wear, good quality"
Product and Quality Assurance,positive,"like, love, happy, hope, not happy","draping fabric, open underarm area, wear with cardi or bandeau"
Product and Quality Assurance,positive,"worth, versatile, beautiful, classic, elegant","cream/blue gray skirt, versatile, classic design, perfect fit"
"Sales, Product and Quality Assurance",positive,"surprised, happy, excited, cautious, satisfied","blouse on sale, fits well, compliments, lace delicate"
Product and Quality Assurance,positive,"complimented, pretty, great, spring/summer","floral patterned version, true to size, great top for spring/summer"
Product and Quality Assurance,negative,"miffed, like, disappointed, surprised, relieved","color not as expected, online return"
Product and Quality Assurance,negative,"unattractive, better fit, perfect, taller frames","size up for better fit, perfect for taller frames"
Product and Quality Assurance,negative,"comfortable, pictured, tts, normal body, easter egg",skirt looks like wearing an easter egg on a normal body
"Marketing, Product and Quality Assurance",positive,"love, soft, feminine, better, decorated","navy blue embroidery, soft and feminine, love it"
"Marketing, Product and Quality Assurance",positive,"love, struck, planning, stitched, unlikely","love the model's pairing, planning to wear with corduroy skirt"
Product and Quality Assurance,positive,"surprised, excited, concerned, relieved, satisfied","dress fits well, sizes are accurate, xl could fit 16-20"
Product and Quality Assurance,positive,"fun, comfort, charm, excitement, satisfaction",fun and comfortable clothing that doesn't shrink or need ironing.
Sales,positive,"comfortable, flattering, nice shape, not slinky","comfortable and flattering dress, nice shape, not slinky."
"Marketing, Product and Quality Assurance",positive,"hesitant, must have, right amount, fits perfectly, highly recommend","lace and detail, size up will be too ""blousy"""
Product and Quality Assurance,positive,"comfortable, flattering, great, spillage, wrong size","comfortable and flattering material, great fit, watch out for spillage"
Product and Quality Assurance,positive,"excellent, favorite, comfortable, substantial, super",comfortable jeans with excellent quality and design
"Marketing, Product and Quality Assurance",positive,"love, thrilled, pretty, keeping","beautiful color and pattern, strangers complimented, keeping"
Product and Quality Assurance,negative,"unique emotions - disappointment, surprise, curiosity, dissatisfaction, confusion","pants not suitable for my body type, material not as expected."
"Product and Quality Assurance, Inventory Management",negative,"comfortable, disappointed, great, snug, saggy",shorts are comfortable but loosen up and develop a saggy look
nan,nan,nan,nan
Inventory Management,negative,"frustration, uncertainty, disappointment, confusion, dissatisfaction","size issues mentioned in reviews, tenting at the bottom, may have been fine with size 6"
Product and Quality Assurance,positive,"well-constructed, medium weight, beautiful","well-constructed, medium weight, beautiful leggings"
Inventory Management,positive,"cute, love","jumpsuit is cute, need petite size, will have it taken in"
Product and Quality Assurance,negative,"love, big, drowning, quality, size down","shirt too big, love quality, size down"
"Marketing, Sales",positive,"loved, soft, unbelievably, hug, decen","dress is soft, received compliments, material is thick"
"Marketing, Product and Quality Assurance",positive,"gorgeous, soft, luxurious, love, unbelievably","soft and luxurious sweater, love the pink/purple color."
"Marketing, Product and Quality Assurance",positive,"flattering, pretty, nice, requires, work","flattering, pretty, nice, requires, work"
Marketing,positive,"great, versatile, flattering","great versatile skirt, very flattering"
Product and Quality Assurance,positive,"love, artistic, gorgeous, unique, beauty","artistic interpretation, unique style, gorgeous blue, perfect fit"
Product and Quality Assurance,positive,"great, love, bold, lively, strange","great summer top addition, floral print, size fitting issue"
Product and Quality Assurance,positive,"gorgeous, beautifully constructed, cute details, flows well, easy to dress up or down","beautifully constructed jumpsuit, easy to dress up or down."
"Marketing, Product and Quality Assurance",positive,"glad, beautiful, great, gorgeous, nicely","beautiful colors and pattern, lace detail is gorgeous, pairs nicely with dark skinny jeans."
"Marketing, Product and Quality Assurance",positive,"beautiful, loved, intricate, detailed, popped","beautiful embroidery, intricate and detailed, great shirt for spring/summer/fall"
Product and Quality Assurance,negative,"frustration, disappointment, confusion, dissatisfaction, resignation","pilcro stet jeans in white have changed cut, curvier fit, waist doesn't work."
Product and Quality Assurance,positive,"favorite, lightweight, drapey, flattering, dressy, casual","new favorite sweater, lightweight, drapey, flattering, dressy or casual."
"Marketing, Product and Quality Assurance",positive,"love, considering, comfortable, soft, wish","stretchy, comfortable, soft tee in blue/teal color."
Product and Quality Assurance,positive,"love, well made, beautiful, nice, pretty",well-made sleepwear with beautiful designs and nice embroidery
nan,nan,nan,nan
Product and Quality Assurance,negative,"disappointed, flattering, worth, wowed","dress not flattering, not worth the price"
Product and Quality Assurance,negative,"obsessed, happy, cute, stretchy, comfortable",stretchy jeans sag after a few hours
Marketing,positive,"love, casual, wish, purchased","versatile shirt, love it, should have bought all colors"
Product and Quality Assurance,negative,"flattering, useful, downside, beautiful, benefit","dress does not come with pictured ribbon, needs cinched waist."
Inventory Management,negative,"disappointment, frustration","shirt runs large, returning for smaller size"
Product and Quality Assurance,positive,"flattering, comfortable, versatile, love, flows",comfortable and versatile piece with flattering design and flowy fabric.
Product and Quality Assurance,negative,"loved, good, disappointing","t-shirt shrunk after washing, disappointing quality"
Product and Quality Assurance,positive,"love, great","pants fit perfectly, great for casual days at work"
"Marketing, Product and Quality Assurance",positive,"love, adore","relaxed fit dress, great for casual wear with tall boots."
nan,nan,nan,nan
"Marketing, Product and Quality Assurance",positive,"great, adorable, versatile, excited, soft","great skirt, versatile piece, soft as butter, received compliments"
Product and Quality Assurance,positive,"fun, playful, shimmering, big plus, perfectly","fun and playful pantie with shimmering lace details, untieable ribbons, perfect fit."
